
Current theta : [ 2.02181 , 0.407467 , -0.06949 ] 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0.98	-nan(ind)	-nan(ind)	nan	2.07181	0.407467	-0.06949
0.99	-nan(ind)	-nan(ind)	nan	2.07181	0.407467	-0.06949


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.2	0.281662	0.345447	2.02181	0.457467	-0.06949
0.01	0.481662	0.821746	1.29795	2.02181	0.457467	-0.06949
0.02	1.30341	2.4486	4.07185	2.02181	0.457467	-0.06949
0.03	3.75201	-12.4307	17.0564	2.02181	0.457467	-0.06949
0.04	-8.67866	1218.39	1235.48	2.02181	0.457467	-0.06949
0.05	1209.72	-1.90376e+09	1.90376e+09	2.02181	0.457467	-0.06949
0.06	-1.90376e+09	7.37928e+27	7.37928e+27	2.02181	0.457467	-0.06949
0.07	7.37928e+27	-4.29753e+83	4.29753e+83	2.02181	0.457467	-0.06949
0.08	-4.29753e+83	8.48857e+250	inf	2.02181	0.457467	-0.06949
0.09	8.48857e+250	-inf	inf	2.02181	0.457467	-0.06949
0.1	-inf	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.11	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.12	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.13	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.14	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.15	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.16	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.17	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.18	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.19	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.2	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.21	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.22	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.23	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.24	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.25	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.26	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.27	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.28	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.29	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.3	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.31	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.32	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.33	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.34	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.35	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.36	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.37	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.38	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.39	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.4	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.41	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.42	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.43	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.44	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.45	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.46	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.47	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.48	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.49	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.5	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
0.51	-nan(ind)	-nan(ind)	nan	2.02181	0.457467	-0.06949
