
Current theta : [ 1.30705 , -1.69219 , 0.998693 ] 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.99	-0.980008	1.39302	1.39302	1.30705	-1.69219	0.998693
1	0.9802	-0.960384	1.37227	2.7653	1.30705	-1.69219	0.998693
2	0.970596	-0.941124	1.35195	4.11725	1.30705	-1.69219	0.998693
3	0.961185	-0.922218	1.33205	5.4493	1.30705	-1.69219	0.998693
4	0.951963	-0.903662	1.31257	6.76187	1.30705	-1.69219	0.998693
5	0.942926	-0.885449	1.29349	8.05536	1.30705	-1.69219	0.998693
6	0.934072	-0.867571	1.27482	9.33018	1.30705	-1.69219	0.998693
7	0.925396	-0.850024	1.25654	10.5867	1.30705	-1.69219	0.998693
8	0.916896	-0.8328	1.23865	11.8254	1.30705	-1.69219	0.998693
9	0.908568	-0.815893	1.22114	13.0465	1.30705	-1.69219	0.998693
10	0.900409	-0.799299	1.204	14.2505	1.30705	-1.69219	0.998693
11	0.892416	-0.783011	1.18723	15.4377	1.30705	-1.69219	0.998693
12	0.884586	-0.767022	1.17082	16.6086	1.30705	-1.69219	0.998693
13	0.876915	-0.751329	1.15476	17.7633	1.30705	-1.69219	0.998693
14	0.869402	-0.735925	1.13905	18.9024	1.30705	-1.69219	0.998693
15	0.862043	-0.720804	1.12369	20.0261	1.30705	-1.69219	0.998693
16	0.854835	-0.705962	1.10866	21.1347	1.30705	-1.69219	0.998693
17	0.847775	-0.691394	1.09396	22.2287	1.30705	-1.69219	0.998693
18	0.840861	-0.677093	1.07958	23.3083	1.30705	-1.69219	0.998693
19	0.83409	-0.663056	1.06553	24.3738	1.30705	-1.69219	0.998693
20	0.82746	-0.649278	1.05178	25.4256	1.30705	-1.69219	0.998693
21	0.820967	-0.635753	1.03835	26.4639	1.30705	-1.69219	0.998693
22	0.814609	-0.622476	1.02521	27.4891	1.30705	-1.69219	0.998693
23	0.808385	-0.609444	1.01238	28.5015	1.30705	-1.69219	0.998693
24	0.80229	-0.596652	0.999832	29.5014	1.30705	-1.69219	0.998693
25	0.796324	-0.584095	0.987572	30.4889	1.30705	-1.69219	0.998693
26	0.790483	-0.571768	0.975593	31.4645	1.30705	-1.69219	0.998693
27	0.784765	-0.559669	0.963891	32.4284	1.30705	-1.69219	0.998693
28	0.779168	-0.547791	0.952459	33.3809	1.30705	-1.69219	0.998693
29	0.77369	-0.536132	0.941294	34.3222	1.30705	-1.69219	0.998693
30	0.768329	-0.524687	0.93039	35.2526	1.30705	-1.69219	0.998693
31	0.763082	-0.513452	0.919743	36.1723	1.30705	-1.69219	0.998693
32	0.757948	-0.502423	0.909348	37.0816	1.30705	-1.69219	0.998693
33	0.752924	-0.491596	0.8992	37.9808	1.30705	-1.69219	0.998693
34	0.748008	-0.480968	0.889295	38.8701	1.30705	-1.69219	0.998693
35	0.743198	-0.470535	0.879629	39.7498	1.30705	-1.69219	0.998693
36	0.738493	-0.460294	0.870196	40.62	1.30705	-1.69219	0.998693
37	0.73389	-0.45024	0.860994	41.481	1.30705	-1.69219	0.998693
