
Current theta : [ 1.28817 , -1.72382 , 0.988912 ] 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.99	-0.97988	1.39293	1.39293	1.28817	-1.72382	0.988912
1	0.980201	-0.960138	1.3721	2.76503	1.28817	-1.72382	0.988912
2	0.9706	-0.940766	1.3517	4.11674	1.28817	-1.72382	0.988912
3	0.961192	-0.921758	1.33174	5.44848	1.28817	-1.72382	0.988912
4	0.951975	-0.903107	1.3122	6.76067	1.28817	-1.72382	0.988912
5	0.942944	-0.884805	1.29307	8.05374	1.28817	-1.72382	0.988912
6	0.934095	-0.866846	1.27435	9.32809	1.28817	-1.72382	0.988912
7	0.925427	-0.849223	1.25602	10.5841	1.28817	-1.72382	0.988912
8	0.916935	-0.831931	1.23809	11.8222	1.28817	-1.72382	0.988912
9	0.908615	-0.814962	1.22055	13.0428	1.28817	-1.72382	0.988912
10	0.900466	-0.798311	1.20339	14.2461	1.28817	-1.72382	0.988912
11	0.892483	-0.781972	1.18659	15.4327	1.28817	-1.72382	0.988912
12	0.884663	-0.765938	1.17017	16.6029	1.28817	-1.72382	0.988912
13	0.877004	-0.750203	1.1541	17.757	1.28817	-1.72382	0.988912
14	0.869502	-0.734763	1.13838	18.8954	1.28817	-1.72382	0.988912
15	0.862154	-0.719611	1.12301	20.0184	1.28817	-1.72382	0.988912
16	0.854958	-0.704743	1.10798	21.1264	1.28817	-1.72382	0.988912
17	0.84791	-0.690151	1.09328	22.2196	1.28817	-1.72382	0.988912
18	0.841009	-0.675832	1.07891	23.2986	1.28817	-1.72382	0.988912
19	0.834251	-0.661781	1.06486	24.3634	1.28817	-1.72382	0.988912
20	0.827633	-0.647991	1.05113	25.4145	1.28817	-1.72382	0.988912
21	0.821153	-0.634458	1.0377	26.4522	1.28817	-1.72382	0.988912
22	0.814808	-0.621178	1.02459	27.4768	1.28817	-1.72382	0.988912
23	0.808597	-0.608145	1.01177	28.4886	1.28817	-1.72382	0.988912
24	0.802515	-0.595355	0.999239	29.4878	1.28817	-1.72382	0.988912
25	0.796562	-0.582803	0.987	30.4748	1.28817	-1.72382	0.988912
26	0.790733	-0.570485	0.975045	31.4499	1.28817	-1.72382	0.988912
27	0.785029	-0.558396	0.963367	32.4132	1.28817	-1.72382	0.988912
28	0.779445	-0.546531	0.951961	33.3652	1.28817	-1.72382	0.988912
29	0.773979	-0.534888	0.940824	34.306	1.28817	-1.72382	0.988912
30	0.76863	-0.523461	0.929948	35.236	1.28817	-1.72382	0.988912
31	0.763396	-0.512246	0.919331	36.1553	1.28817	-1.72382	0.988912
32	0.758273	-0.501239	0.908966	37.0643	1.28817	-1.72382	0.988912
33	0.753261	-0.490437	0.89885	37.9631	1.28817	-1.72382	0.988912
34	0.748357	-0.479836	0.888977	38.8521	1.28817	-1.72382	0.988912
35	0.743558	-0.469431	0.879343	39.7314	1.28817	-1.72382	0.988912
36	0.738864	-0.45922	0.869944	40.6014	1.28817	-1.72382	0.988912
37	0.734272	-0.449198	0.860775	41.4622	1.28817	-1.72382	0.988912
38	0.72978	-0.439361	0.851831	42.314	1.28817	-1.72382	0.988912
39	0.725386	-0.429707	0.843109	43.1571	1.28817	-1.72382	0.988912
40	0.721089	-0.420232	0.834604	43.9917	1.28817	-1.72382	0.988912
41	0.716887	-0.410932	0.826312	44.818	1.28817	-1.72382	0.988912
42	0.712777	-0.401805	0.818229	45.6363	1.28817	-1.72382	0.988912
43	0.708759	-0.392846	0.810351	46.4466	1.28817	-1.72382	0.988912
44	0.704831	-0.384054	0.802673	47.2493	1.28817	-1.72382	0.988912
45	0.70099	-0.375424	0.795192	48.0445	1.28817	-1.72382	0.988912
46	0.697236	-0.366953	0.787904	48.8324	1.28817	-1.72382	0.988912
47	0.693567	-0.358639	0.780805	49.6132	1.28817	-1.72382	0.988912
48	0.68998	-0.350479	0.773892	50.3871	1.28817	-1.72382	0.988912
49	0.686475	-0.342469	0.76716	51.1542	1.28817	-1.72382	0.988912
50	0.683051	-0.334607	0.760605	51.9148	1.28817	-1.72382	0.988912
51	0.679705	-0.326891	0.754226	52.6691	1.28817	-1.72382	0.988912
52	0.676436	-0.319317	0.748016	53.4171	1.28817	-1.72382	0.988912
53	0.673243	-0.311882	0.741974	54.1591	1.28817	-1.72382	0.988912
54	0.670124	-0.304585	0.736096	54.8951	1.28817	-1.72382	0.988912
55	0.667078	-0.297422	0.730378	55.6255	1.28817	-1.72382	0.988912
56	0.664104	-0.290391	0.724818	56.3503	1.28817	-1.72382	0.988912
57	0.6612	-0.283489	0.71941	57.0698	1.28817	-1.72382	0.988912
58	0.658365	-0.276714	0.714154	57.7839	1.28817	-1.72382	0.988912
59	0.655598	-0.270065	0.709044	58.493	1.28817	-1.72382	0.988912
60	0.652897	-0.263537	0.704078	59.197	1.28817	-1.72382	0.988912
61	0.650262	-0.257129	0.699254	59.8963	1.28817	-1.72382	0.988912
62	0.647691	-0.250839	0.694567	60.5909	1.28817	-1.72382	0.988912
63	0.645182	-0.244665	0.690015	61.2809	1.28817	-1.72382	0.988912
64	0.642735	-0.238604	0.685595	61.9665	1.28817	-1.72382	0.988912
