
Current theta : [ 1.25496 , -1.75671 , 0.974621 ] 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.99	-0.979883	1.39294	1.39294	1.25496	-1.75671	0.974621
1	0.980201	-0.96015	1.37211	2.76505	1.25496	-1.75671	0.974621
2	0.9706	-0.940794	1.35172	4.11677	1.25496	-1.75671	0.974621
3	0.961192	-0.921806	1.33177	5.44854	1.25496	-1.75671	0.974621
4	0.951974	-0.90318	1.31225	6.76079	1.25496	-1.75671	0.974621
5	0.942942	-0.884908	1.29314	8.05392	1.25496	-1.75671	0.974621
6	0.934093	-0.866983	1.27444	9.32836	1.25496	-1.75671	0.974621
7	0.925423	-0.849399	1.25614	10.5845	1.25496	-1.75671	0.974621
8	0.916929	-0.832149	1.23824	11.8227	1.25496	-1.75671	0.974621
9	0.908607	-0.815227	1.22072	13.0435	1.25496	-1.75671	0.974621
10	0.900455	-0.798625	1.20359	14.247	1.25496	-1.75671	0.974621
11	0.892469	-0.782338	1.18683	15.4339	1.25496	-1.75671	0.974621
12	0.884646	-0.76636	1.17043	16.6043	1.25496	-1.75671	0.974621
13	0.876982	-0.750684	1.15439	17.7587	1.25496	-1.75671	0.974621
14	0.869475	-0.735305	1.13871	18.8974	1.25496	-1.75671	0.974621
15	0.862122	-0.720216	1.12337	20.0208	1.25496	-1.75671	0.974621
16	0.85492	-0.705413	1.10838	21.1291	1.25496	-1.75671	0.974621
17	0.847866	-0.690889	1.09371	22.2229	1.25496	-1.75671	0.974621
18	0.840957	-0.67664	1.07937	23.3022	1.25496	-1.75671	0.974621
19	0.83419	-0.66266	1.06536	24.3676	1.25496	-1.75671	0.974621
20	0.827564	-0.648943	1.05166	25.4193	1.25496	-1.75671	0.974621
21	0.821074	-0.635485	1.03827	26.4575	1.25496	-1.75671	0.974621
22	0.81472	-0.62228	1.02518	27.4827	1.25496	-1.75671	0.974621
23	0.808497	-0.609325	1.01239	28.4951	1.25496	-1.75671	0.974621
24	0.802404	-0.596613	0.999899	29.495	1.25496	-1.75671	0.974621
25	0.796437	-0.58414	0.98769	30.4827	1.25496	-1.75671	0.974621
26	0.790596	-0.571902	0.975763	31.4585	1.25496	-1.75671	0.974621
27	0.784877	-0.559894	0.964113	32.4226	1.25496	-1.75671	0.974621
28	0.779278	-0.548112	0.952733	33.3753	1.25496	-1.75671	0.974621
29	0.773797	-0.536551	0.94162	34.3169	1.25496	-1.75671	0.974621
30	0.768431	-0.525207	0.930768	35.2477	1.25496	-1.75671	0.974621
31	0.763179	-0.514076	0.920172	36.1679	1.25496	-1.75671	0.974621
32	0.758039	-0.503154	0.909828	37.0777	1.25496	-1.75671	0.974621
33	0.753007	-0.492437	0.89973	37.9774	1.25496	-1.75671	0.974621
34	0.748083	-0.48192	0.889873	38.8673	1.25496	-1.75671	0.974621
35	0.743264	-0.471601	0.880254	39.7475	1.25496	-1.75671	0.974621
