
Current theta : [ 1.24872 , -1.75761 , 0.972569 ] 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.99	-0.979937	1.39297	1.39297	1.24872	-1.75761	0.972569
1	0.980201	-0.960256	1.37218	2.76516	1.24872	-1.75761	0.972569
2	0.970598	-0.940951	1.35183	4.11699	1.24872	-1.75761	0.972569
3	0.961189	-0.922014	1.33191	5.4489	1.24872	-1.75761	0.972569
4	0.951968	-0.903437	1.31242	6.76132	1.24872	-1.75761	0.972569
5	0.942934	-0.885213	1.29334	8.05466	1.24872	-1.75761	0.972569
6	0.934082	-0.867337	1.27467	9.32933	1.24872	-1.75761	0.972569
7	0.925409	-0.849799	1.2564	10.5857	1.24872	-1.75761	0.972569
8	0.916911	-0.832595	1.23852	11.8243	1.24872	-1.75761	0.972569
9	0.908585	-0.815717	1.22103	13.0453	1.24872	-1.75761	0.972569
10	0.900427	-0.799159	1.20392	14.2492	1.24872	-1.75761	0.972569
11	0.892436	-0.782915	1.18718	15.4364	1.24872	-1.75761	0.972569
12	0.884607	-0.766978	1.17081	16.6072	1.24872	-1.75761	0.972569
13	0.876937	-0.751343	1.15479	17.762	1.24872	-1.75761	0.972569
14	0.869423	-0.736004	1.13912	18.9011	1.24872	-1.75761	0.972569
15	0.862063	-0.720955	1.1238	20.0249	1.24872	-1.75761	0.972569
16	0.854854	-0.70619	1.10882	21.1337	1.24872	-1.75761	0.972569
17	0.847792	-0.691704	1.09417	22.2279	1.24872	-1.75761	0.972569
18	0.840875	-0.677491	1.07984	23.3077	1.24872	-1.75761	0.972569
19	0.8341	-0.663547	1.06584	24.3736	1.24872	-1.75761	0.972569
20	0.827465	-0.649865	1.05215	25.4257	1.24872	-1.75761	0.972569
21	0.820966	-0.636441	1.03877	26.4645	1.24872	-1.75761	0.972569
22	0.814602	-0.62327	1.02569	27.4902	1.24872	-1.75761	0.972569
23	0.808369	-0.610346	1.01291	28.5031	1.24872	-1.75761	0.972569
24	0.802265	-0.597666	1.00042	29.5035	1.24872	-1.75761	0.972569
25	0.796289	-0.585225	0.988212	30.4917	1.24872	-1.75761	0.972569
26	0.790436	-0.573017	0.976288	31.468	1.24872	-1.75761	0.972569
27	0.784706	-0.561039	0.964639	32.4327	1.24872	-1.75761	0.972569
28	0.779096	-0.549285	0.95326	33.3859	1.24872	-1.75761	0.972569
29	0.773603	-0.537752	0.942146	34.3281	1.24872	-1.75761	0.972569
30	0.768226	-0.526436	0.931292	35.2593	1.24872	-1.75761	0.972569
31	0.762961	-0.515332	0.920693	36.18	1.24872	-1.75761	0.972569
32	0.757808	-0.504436	0.910345	37.0904	1.24872	-1.75761	0.972569
33	0.752763	-0.493744	0.900242	37.9906	1.24872	-1.75761	0.972569
34	0.747826	-0.483252	0.89038	38.881	1.24872	-1.75761	0.972569
35	0.742994	-0.472957	0.880754	39.7618	1.24872	-1.75761	0.972569
36	0.738264	-0.462854	0.87136	40.6331	1.24872	-1.75761	0.972569
37	0.733635	-0.452941	0.862193	41.4953	1.24872	-1.75761	0.972569
38	0.729106	-0.443212	0.853248	42.3486	1.24872	-1.75761	0.972569
39	0.724674	-0.433666	0.844523	43.1931	1.24872	-1.75761	0.972569
40	0.720337	-0.424298	0.836011	44.0291	1.24872	-1.75761	0.972569
41	0.716094	-0.415105	0.827709	44.8568	1.24872	-1.75761	0.972569
42	0.711943	-0.406083	0.819614	45.6764	1.24872	-1.75761	0.972569
