
Current theta : [ 1.28375 , -1.73079 , 0.986686 ] 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.99	-0.979855	1.39292	1.39292	1.28375	-1.73079	0.986686
1	0.980201	-0.960089	1.37207	2.76498	1.28375	-1.73079	0.986686
2	0.970601	-0.940695	1.35166	4.11664	1.28375	-1.73079	0.986686
3	0.961194	-0.921667	1.33168	5.44831	1.28375	-1.73079	0.986686
4	0.951977	-0.902997	1.31212	6.76044	1.28375	-1.73079	0.986686
5	0.942947	-0.884678	1.29298	8.05342	1.28375	-1.73079	0.986686
6	0.9341	-0.866703	1.27425	9.32767	1.28375	-1.73079	0.986686
7	0.925433	-0.849067	1.25592	10.5836	1.28375	-1.73079	0.986686
8	0.916942	-0.831762	1.23799	11.8216	1.28375	-1.73079	0.986686
9	0.908625	-0.814781	1.22044	13.042	1.28375	-1.73079	0.986686
10	0.900477	-0.79812	1.20327	14.2453	1.28375	-1.73079	0.986686
11	0.892496	-0.781771	1.18647	15.4318	1.28375	-1.73079	0.986686
12	0.884678	-0.765729	1.17004	16.6018	1.28375	-1.73079	0.986686
13	0.877021	-0.749988	1.15397	17.7558	1.28375	-1.73079	0.986686
14	0.869521	-0.734542	1.13825	18.894	1.28375	-1.73079	0.986686
15	0.862176	-0.719385	1.12288	20.0169	1.28375	-1.73079	0.986686
16	0.854982	-0.704512	1.10785	21.1248	1.28375	-1.73079	0.986686
17	0.847937	-0.689917	1.09315	22.2179	1.28375	-1.73079	0.986686
18	0.841037	-0.675596	1.07878	23.2967	1.28375	-1.73079	0.986686
19	0.834281	-0.661543	1.06474	24.3614	1.28375	-1.73079	0.986686
20	0.827666	-0.647753	1.05101	25.4124	1.28375	-1.73079	0.986686
21	0.821189	-0.63422	1.03759	26.45	1.28375	-1.73079	0.986686
22	0.814846	-0.62094	1.02447	27.4745	1.28375	-1.73079	0.986686
23	0.808637	-0.607909	1.01166	28.4861	1.28375	-1.73079	0.986686
24	0.802558	-0.595121	0.999133	29.4853	1.28375	-1.73079	0.986686
25	0.796607	-0.582571	0.9869	30.4722	1.28375	-1.73079	0.986686
26	0.790781	-0.570256	0.97495	31.4471	1.28375	-1.73079	0.986686
27	0.785078	-0.558171	0.963277	32.4104	1.28375	-1.73079	0.986686
28	0.779497	-0.546311	0.951877	33.3623	1.28375	-1.73079	0.986686
29	0.774034	-0.534672	0.940746	34.303	1.28375	-1.73079	0.986686
30	0.768687	-0.52325	0.929877	35.2329	1.28375	-1.73079	0.986686
31	0.763454	-0.512041	0.919265	36.1522	1.28375	-1.73079	0.986686
32	0.758334	-0.501041	0.908907	37.0611	1.28375	-1.73079	0.986686
33	0.753323	-0.490246	0.898798	37.9599	1.28375	-1.73079	0.986686
34	0.748421	-0.479651	0.888932	38.8488	1.28375	-1.73079	0.986686
35	0.743624	-0.469254	0.879305	39.7281	1.28375	-1.73079	0.986686
36	0.738932	-0.45905	0.869912	40.598	1.28375	-1.73079	0.986686
37	0.734341	-0.449036	0.86075	41.4588	1.28375	-1.73079	0.986686
38	0.729851	-0.439208	0.851813	42.3106	1.28375	-1.73079	0.986686
39	0.725459	-0.429563	0.843098	43.1537	1.28375	-1.73079	0.986686
40	0.721163	-0.420096	0.8346	43.9883	1.28375	-1.73079	0.986686
41	0.716962	-0.410806	0.826315	44.8146	1.28375	-1.73079	0.986686
42	0.712854	-0.401688	0.818239	45.6328	1.28375	-1.73079	0.986686
43	0.708837	-0.392739	0.810367	46.4432	1.28375	-1.73079	0.986686
44	0.70491	-0.383956	0.802696	47.2459	1.28375	-1.73079	0.986686
45	0.701071	-0.375336	0.795222	48.0411	1.28375	-1.73079	0.986686
46	0.697317	-0.366876	0.78794	48.8291	1.28375	-1.73079	0.986686
47	0.693648	-0.358573	0.780847	49.6099	1.28375	-1.73079	0.986686
48	0.690063	-0.350423	0.77394	50.3838	1.28375	-1.73079	0.986686
49	0.686558	-0.342425	0.767214	51.1511	1.28375	-1.73079	0.986686
50	0.683134	-0.334574	0.760666	51.9117	1.28375	-1.73079	0.986686
51	0.679788	-0.326868	0.754291	52.666	1.28375	-1.73079	0.986686
52	0.67652	-0.319306	0.748088	53.4141	1.28375	-1.73079	0.986686
53	0.673327	-0.311883	0.742051	54.1562	1.28375	-1.73079	0.986686
54	0.670208	-0.304597	0.736178	54.8923	1.28375	-1.73079	0.986686
55	0.667162	-0.297445	0.730465	55.6228	1.28375	-1.73079	0.986686
56	0.664187	-0.290426	0.724908	56.3477	1.28375	-1.73079	0.986686
57	0.661283	-0.283536	0.719506	57.0672	1.28375	-1.73079	0.986686
58	0.658448	-0.276774	0.714253	57.7815	1.28375	-1.73079	0.986686
59	0.65568	-0.270136	0.709147	58.4906	1.28375	-1.73079	0.986686
60	0.652979	-0.263621	0.704185	59.1948	1.28375	-1.73079	0.986686
61	0.650343	-0.257225	0.699364	59.8942	1.28375	-1.73079	0.986686
62	0.64777	-0.250948	0.694681	60.5888	1.28375	-1.73079	0.986686
63	0.645261	-0.244786	0.690131	61.279	1.28375	-1.73079	0.986686
64	0.642813	-0.238737	0.685714	61.9647	1.28375	-1.73079	0.986686
65	0.640426	-0.2328	0.681425	62.6461	1.28375	-1.73079	0.986686
66	0.638098	-0.226971	0.677263	63.3234	1.28375	-1.73079	0.986686
67	0.635828	-0.22125	0.673223	63.9966	1.28375	-1.73079	0.986686
68	0.633615	-0.215634	0.669303	64.6659	1.28375	-1.73079	0.986686
69	0.631459	-0.210121	0.665501	65.3314	1.28375	-1.73079	0.986686
70	0.629358	-0.20471	0.661814	65.9932	1.28375	-1.73079	0.986686
71	0.627311	-0.199397	0.658239	66.6515	1.28375	-1.73079	0.986686
72	0.625317	-0.194182	0.654773	67.3062	1.28375	-1.73079	0.986686
73	0.623375	-0.189063	0.651415	67.9576	1.28375	-1.73079	0.986686
74	0.621484	-0.184037	0.648161	68.6058	1.28375	-1.73079	0.986686
75	0.619644	-0.179103	0.645009	69.2508	1.28375	-1.73079	0.986686
76	0.617853	-0.17426	0.641957	69.8928	1.28375	-1.73079	0.986686
77	0.61611	-0.169505	0.639002	70.5318	1.28375	-1.73079	0.986686
78	0.614415	-0.164837	0.636143	71.1679	1.28375	-1.73079	0.986686
79	0.612767	-0.160254	0.633376	71.8013	1.28375	-1.73079	0.986686
80	0.611164	-0.155755	0.630699	72.432	1.28375	-1.73079	0.986686
81	0.609607	-0.151338	0.628111	73.0601	1.28375	-1.73079	0.986686
82	0.608093	-0.147002	0.625609	73.6857	1.28375	-1.73079	0.986686
83	0.606623	-0.142745	0.623192	74.3089	1.28375	-1.73079	0.986686
84	0.605196	-0.138565	0.620856	74.9298	1.28375	-1.73079	0.986686
85	0.60381	-0.134461	0.618601	75.5484	1.28375	-1.73079	0.986686
86	0.602466	-0.130432	0.616423	76.1648	1.28375	-1.73079	0.986686
