
Current theta : [ 1.34054 , -1.6352 , 1.01638 ] 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.99	-0.980243	1.39319	1.39319	1.34054	-1.6352	1.01638
1	0.980198	-0.960839	1.37259	2.76578	1.34054	-1.6352	1.01638
2	0.970589	-0.941783	1.35241	4.11818	1.34054	-1.6352	1.01638
3	0.961171	-0.923069	1.33263	5.45081	1.34054	-1.6352	1.01638
4	0.951941	-0.904691	1.31326	6.76408	1.34054	-1.6352	1.01638
5	0.942894	-0.886641	1.29429	8.05836	1.34054	-1.6352	1.01638
6	0.934027	-0.868916	1.2757	9.33407	1.34054	-1.6352	1.01638
7	0.925338	-0.851509	1.2575	10.5916	1.34054	-1.6352	1.01638
8	0.916823	-0.834414	1.23968	11.8313	1.34054	-1.6352	1.01638
9	0.908479	-0.817625	1.22223	13.0535	1.34054	-1.6352	1.01638
10	0.900303	-0.801138	1.20514	14.2586	1.34054	-1.6352	1.01638
11	0.892291	-0.784948	1.18841	15.447	1.34054	-1.6352	1.01638
12	0.884442	-0.769047	1.17204	16.6191	1.34054	-1.6352	1.01638
13	0.876751	-0.753433	1.15601	17.7751	1.34054	-1.6352	1.01638
14	0.869217	-0.738098	1.14032	18.9154	1.34054	-1.6352	1.01638
15	0.861836	-0.723039	1.12497	20.0404	1.34054	-1.6352	1.01638
16	0.854606	-0.708251	1.10994	21.1503	1.34054	-1.6352	1.01638
17	0.847523	-0.693728	1.09524	22.2456	1.34054	-1.6352	1.01638
18	0.840586	-0.679466	1.08086	23.3264	1.34054	-1.6352	1.01638
19	0.833791	-0.66546	1.06679	24.3932	1.34054	-1.6352	1.01638
20	0.827137	-0.651706	1.05303	25.4462	1.34054	-1.6352	1.01638
21	0.82062	-0.638199	1.03957	26.4858	1.34054	-1.6352	1.01638
22	0.814238	-0.624934	1.02641	27.5122	1.34054	-1.6352	1.01638
23	0.807988	-0.611908	1.01355	28.5258	1.34054	-1.6352	1.01638
24	0.801869	-0.599116	1.00097	29.5267	1.34054	-1.6352	1.01638
25	0.795878	-0.586553	0.988669	30.5154	1.34054	-1.6352	1.01638
26	0.790012	-0.574217	0.97665	31.4921	1.34054	-1.6352	1.01638
27	0.78427	-0.562101	0.964903	32.457	1.34054	-1.6352	1.01638
28	0.778649	-0.550204	0.953425	33.4104	1.34054	-1.6352	1.01638
29	0.773147	-0.53852	0.94221	34.3526	1.34054	-1.6352	1.01638
30	0.767762	-0.527046	0.931255	35.2838	1.34054	-1.6352	1.01638
31	0.762492	-0.515777	0.920554	36.2044	1.34054	-1.6352	1.01638
32	0.757334	-0.504711	0.910103	37.1145	1.34054	-1.6352	1.01638
33	0.752287	-0.493844	0.899899	38.0144	1.34054	-1.6352	1.01638
