
Current theta : [ 1.34154 , -1.6335 , 1.01691 ] 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.99	-0.98025	1.39319	1.39319	1.34154	-1.6335	1.01691
1	0.980198	-0.960853	1.3726	2.76579	1.34154	-1.6335	1.01691
2	0.970589	-0.941803	1.35242	4.11821	1.34154	-1.6335	1.01691
3	0.961171	-0.923095	1.33265	5.45086	1.34154	-1.6335	1.01691
4	0.95194	-0.904721	1.31328	6.76414	1.34154	-1.6335	1.01691
5	0.942893	-0.886677	1.29431	8.05845	1.34154	-1.6335	1.01691
6	0.934026	-0.868956	1.27573	9.33418	1.34154	-1.6335	1.01691
7	0.925336	-0.851553	1.25753	10.5917	1.34154	-1.6335	1.01691
8	0.916821	-0.834462	1.23971	11.8314	1.34154	-1.6335	1.01691
9	0.908476	-0.817677	1.22226	13.0537	1.34154	-1.6335	1.01691
10	0.9003	-0.801193	1.20518	14.2589	1.34154	-1.6335	1.01691
11	0.892288	-0.785005	1.18845	15.4473	1.34154	-1.6335	1.01691
12	0.884438	-0.769108	1.17207	16.6194	1.34154	-1.6335	1.01691
13	0.876746	-0.753495	1.15604	17.7754	1.34154	-1.6335	1.01691
14	0.869212	-0.738163	1.14036	18.9158	1.34154	-1.6335	1.01691
15	0.86183	-0.723106	1.125	20.0408	1.34154	-1.6335	1.01691
16	0.854599	-0.708319	1.10998	21.1508	1.34154	-1.6335	1.01691
17	0.847516	-0.693798	1.09528	22.2461	1.34154	-1.6335	1.01691
18	0.840578	-0.679537	1.0809	23.327	1.34154	-1.6335	1.01691
19	0.833782	-0.665532	1.06683	24.3938	1.34154	-1.6335	1.01691
20	0.827127	-0.651779	1.05307	25.4469	1.34154	-1.6335	1.01691
21	0.820609	-0.638272	1.03961	26.4865	1.34154	-1.6335	1.01691
22	0.814226	-0.625008	1.02645	27.5129	1.34154	-1.6335	1.01691
23	0.807976	-0.611982	1.01358	28.5265	1.34154	-1.6335	1.01691
24	0.801857	-0.59919	1.001	29.5275	1.34154	-1.6335	1.01691
25	0.795865	-0.586627	0.988702	30.5162	1.34154	-1.6335	1.01691
26	0.789998	-0.57429	0.976681	31.4929	1.34154	-1.6335	1.01691
27	0.784255	-0.562175	0.964934	32.4578	1.34154	-1.6335	1.01691
28	0.778634	-0.550276	0.953454	33.4113	1.34154	-1.6335	1.01691
29	0.773131	-0.538592	0.942238	34.3535	1.34154	-1.6335	1.01691
30	0.767745	-0.527117	0.931281	35.2848	1.34154	-1.6335	1.01691
31	0.762474	-0.515847	0.920579	36.2054	1.34154	-1.6335	1.01691
32	0.757315	-0.50478	0.910126	37.1155	1.34154	-1.6335	1.01691
33	0.752268	-0.493912	0.89992	38.0154	1.34154	-1.6335	1.01691
