
Current theta : [ 1.32948 , -1.65401 , 1.01051 ] 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.99	-0.980165	1.39313	1.39313	1.32948	-1.65401	1.01051
1	0.980198	-0.960689	1.37248	2.76562	1.32948	-1.65401	1.01051
2	0.970591	-0.941566	1.35225	4.11787	1.32948	-1.65401	1.01051
3	0.961176	-0.922788	1.33244	5.45031	1.32948	-1.65401	1.01051
4	0.951948	-0.904351	1.31303	6.76335	1.32948	-1.65401	1.01051
5	0.942904	-0.886247	1.29403	8.05737	1.32948	-1.65401	1.01051
6	0.934042	-0.868472	1.27541	9.33278	1.32948	-1.65401	1.01051
7	0.925357	-0.851018	1.25719	10.59	1.32948	-1.65401	1.01051
8	0.916847	-0.83388	1.23934	11.8293	1.32948	-1.65401	1.01051
9	0.908508	-0.817053	1.22187	13.0512	1.32948	-1.65401	1.01051
10	0.900338	-0.80053	1.20476	14.2559	1.32948	-1.65401	1.01051
11	0.892332	-0.784307	1.18802	15.444	1.32948	-1.65401	1.01051
12	0.884489	-0.768378	1.17163	16.6156	1.32948	-1.65401	1.01051
13	0.876806	-0.752737	1.1556	17.7712	1.32948	-1.65401	1.01051
14	0.869278	-0.737379	1.1399	18.9111	1.32948	-1.65401	1.01051
15	0.861904	-0.7223	1.12454	20.0356	1.32948	-1.65401	1.01051
16	0.854681	-0.707493	1.10952	21.1452	1.32948	-1.65401	1.01051
17	0.847606	-0.692955	1.09482	22.24	1.32948	-1.65401	1.01051
18	0.840677	-0.67868	1.08044	23.3204	1.32948	-1.65401	1.01051
19	0.83389	-0.664664	1.06637	24.3868	1.32948	-1.65401	1.01051
20	0.827243	-0.650902	1.05262	25.4394	1.32948	-1.65401	1.01051
21	0.820734	-0.637389	1.03917	26.4786	1.32948	-1.65401	1.01051
22	0.814361	-0.62412	1.02602	27.5046	1.32948	-1.65401	1.01051
23	0.808119	-0.611092	1.01316	28.5177	1.32948	-1.65401	1.01051
24	0.802008	-0.598299	1.00059	29.5183	1.32948	-1.65401	1.01051
25	0.796025	-0.585738	0.988305	30.5066	1.32948	-1.65401	1.01051
26	0.790168	-0.573405	0.976298	31.4829	1.32948	-1.65401	1.01051
27	0.784434	-0.561295	0.964566	32.4475	1.32948	-1.65401	1.01051
28	0.778821	-0.549403	0.953104	33.4006	1.32948	-1.65401	1.01051
29	0.773327	-0.537727	0.941905	34.3425	1.32948	-1.65401	1.01051
30	0.76795	-0.526263	0.930967	35.2735	1.32948	-1.65401	1.01051
31	0.762687	-0.515005	0.920284	36.1938	1.32948	-1.65401	1.01051
32	0.757537	-0.503951	0.909851	37.1036	1.32948	-1.65401	1.01051
33	0.752498	-0.493097	0.899665	38.0033	1.32948	-1.65401	1.01051
34	0.747567	-0.48244	0.889721	38.893	1.32948	-1.65401	1.01051
35	0.742742	-0.471975	0.880015	39.773	1.32948	-1.65401	1.01051
36	0.738022	-0.461699	0.870542	40.6436	1.32948	-1.65401	1.01051
37	0.733405	-0.451608	0.861298	41.5049	1.32948	-1.65401	1.01051
38	0.728889	-0.4417	0.852279	42.3571	1.32948	-1.65401	1.01051
39	0.724472	-0.431971	0.843481	43.2006	1.32948	-1.65401	1.01051
40	0.720153	-0.422418	0.834899	44.0355	1.32948	-1.65401	1.01051
41	0.715929	-0.413037	0.826531	44.862	1.32948	-1.65401	1.01051
42	0.711798	-0.403825	0.818371	45.6804	1.32948	-1.65401	1.01051
43	0.70776	-0.39478	0.810417	46.4908	1.32948	-1.65401	1.01051
44	0.703812	-0.385897	0.802663	47.2935	1.32948	-1.65401	1.01051
45	0.699953	-0.377175	0.795107	48.0886	1.32948	-1.65401	1.01051
46	0.696181	-0.36861	0.787745	48.8763	1.32948	-1.65401	1.01051
47	0.692495	-0.360199	0.780572	49.6569	1.32948	-1.65401	1.01051
48	0.688893	-0.35194	0.773586	50.4305	1.32948	-1.65401	1.01051
49	0.685374	-0.34383	0.766783	51.1973	1.32948	-1.65401	1.01051
50	0.681936	-0.335866	0.760159	51.9574	1.32948	-1.65401	1.01051
51	0.678577	-0.328045	0.753711	52.7112	1.32948	-1.65401	1.01051
52	0.675296	-0.320364	0.747435	53.4586	1.32948	-1.65401	1.01051
53	0.672093	-0.312822	0.741327	54.1999	1.32948	-1.65401	1.01051
54	0.668965	-0.305416	0.735386	54.9353	1.32948	-1.65401	1.01051
55	0.66591	-0.298142	0.729606	55.6649	1.32948	-1.65401	1.01051
56	0.662929	-0.290999	0.723986	56.3889	1.32948	-1.65401	1.01051
57	0.660019	-0.283985	0.718521	57.1074	1.32948	-1.65401	1.01051
58	0.657179	-0.277096	0.713209	57.8206	1.32948	-1.65401	1.01051
59	0.654408	-0.270331	0.708046	58.5287	1.32948	-1.65401	1.01051
60	0.651705	-0.263687	0.703029	59.2317	1.32948	-1.65401	1.01051
61	0.649068	-0.257163	0.698156	59.9299	1.32948	-1.65401	1.01051
62	0.646496	-0.250755	0.693423	60.6233	1.32948	-1.65401	1.01051
63	0.643989	-0.244462	0.688828	61.3121	1.32948	-1.65401	1.01051
64	0.641544	-0.238282	0.684366	61.9965	1.32948	-1.65401	1.01051
65	0.639161	-0.232212	0.680037	62.6765	1.32948	-1.65401	1.01051
66	0.636839	-0.226251	0.675836	63.3523	1.32948	-1.65401	1.01051
67	0.634577	-0.220396	0.671761	64.0241	1.32948	-1.65401	1.01051
68	0.632373	-0.214646	0.667809	64.6919	1.32948	-1.65401	1.01051
69	0.630226	-0.208999	0.663977	65.3559	1.32948	-1.65401	1.01051
70	0.628136	-0.203452	0.660264	66.0162	1.32948	-1.65401	1.01051
71	0.626102	-0.198004	0.656665	66.6728	1.32948	-1.65401	1.01051
72	0.624122	-0.192654	0.65318	67.326	1.32948	-1.65401	1.01051
73	0.622195	-0.187399	0.649804	67.9758	1.32948	-1.65401	1.01051
74	0.620321	-0.182237	0.646536	68.6223	1.32948	-1.65401	1.01051
75	0.618499	-0.177167	0.643373	69.2657	1.32948	-1.65401	1.01051
76	0.616727	-0.172187	0.640313	69.906	1.32948	-1.65401	1.01051
77	0.615005	-0.167296	0.637354	70.5434	1.32948	-1.65401	1.01051
78	0.613332	-0.162492	0.634492	71.1779	1.32948	-1.65401	1.01051
79	0.611708	-0.157773	0.631726	71.8096	1.32948	-1.65401	1.01051
80	0.61013	-0.153137	0.629054	72.4387	1.32948	-1.65401	1.01051
81	0.608598	-0.148584	0.626474	73.0651	1.32948	-1.65401	1.01051
82	0.607113	-0.144111	0.623982	73.6891	1.32948	-1.65401	1.01051
83	0.605671	-0.139718	0.621578	74.3107	1.32948	-1.65401	1.01051
84	0.604274	-0.135402	0.619259	74.9299	1.32948	-1.65401	1.01051
85	0.60292	-0.131162	0.617022	75.547	1.32948	-1.65401	1.01051
86	0.601609	-0.126998	0.614867	76.1618	1.32948	-1.65401	1.01051
87	0.600339	-0.122906	0.612791	76.7746	1.32948	-1.65401	1.01051
88	0.59911	-0.118887	0.610792	77.3854	1.32948	-1.65401	1.01051
89	0.597921	-0.114939	0.608868	77.9943	1.32948	-1.65401	1.01051
90	0.596771	-0.11106	0.607018	78.6013	1.32948	-1.65401	1.01051
91	0.595661	-0.107249	0.605239	79.2065	1.32948	-1.65401	1.01051
92	0.594588	-0.103505	0.60353	79.8101	1.32948	-1.65401	1.01051
93	0.593553	-0.0998273	0.601889	80.412	1.32948	-1.65401	1.01051
94	0.592555	-0.0962137	0.600315	81.0123	1.32948	-1.65401	1.01051
95	0.591593	-0.0926633	0.598806	81.6111	1.32948	-1.65401	1.01051
96	0.590666	-0.0891751	0.59736	82.2084	1.32948	-1.65401	1.01051
97	0.589774	-0.0857479	0.595975	82.8044	1.32948	-1.65401	1.01051
98	0.588917	-0.0823806	0.594651	83.3991	1.32948	-1.65401	1.01051
99	0.588093	-0.0790719	0.593385	83.9925	1.32948	-1.65401	1.01051


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.99	-0.980155	1.39313	1.39313	1.33048	-1.65401	1.01051
1	0.980198	-0.960669	1.37247	2.7656	1.33048	-1.65401	1.01051
2	0.970592	-0.941536	1.35223	4.11783	1.33048	-1.65401	1.01051
3	0.961176	-0.92275	1.33241	5.45025	1.33048	-1.65401	1.01051
4	0.951949	-0.904303	1.313	6.76325	1.33048	-1.65401	1.01051
5	0.942906	-0.886191	1.29399	8.05724	1.33048	-1.65401	1.01051
6	0.934044	-0.868407	1.27537	9.33261	1.33048	-1.65401	1.01051
7	0.92536	-0.850945	1.25714	10.5897	1.33048	-1.65401	1.01051
8	0.91685	-0.833799	1.23929	11.829	1.33048	-1.65401	1.01051
9	0.908512	-0.816964	1.22181	13.0508	1.33048	-1.65401	1.01051
