
Current theta : [ 1.30911 , -1.68869 , 0.999771 ] 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.99	-0.980022	1.39303	1.39303	1.30911	-1.68869	0.999771
1	0.9802	-0.960412	1.37229	2.76533	1.30911	-1.68869	0.999771
2	0.970596	-0.941164	1.35198	4.1173	1.30911	-1.68869	0.999771
3	0.961184	-0.922271	1.33209	5.44939	1.30911	-1.68869	0.999771
4	0.951961	-0.903725	1.31261	6.762	1.30911	-1.68869	0.999771
5	0.942924	-0.885522	1.29354	8.05555	1.30911	-1.68869	0.999771
6	0.934069	-0.867653	1.27488	9.33042	1.30911	-1.68869	0.999771
7	0.925392	-0.850114	1.2566	10.587	1.30911	-1.68869	0.999771
8	0.916891	-0.832898	1.23871	11.8257	1.30911	-1.68869	0.999771
9	0.908562	-0.815999	1.2212	13.0469	1.30911	-1.68869	0.999771
10	0.900402	-0.799411	1.20407	14.251	1.30911	-1.68869	0.999771
11	0.892408	-0.783129	1.1873	15.4383	1.30911	-1.68869	0.999771
12	0.884577	-0.767146	1.17089	16.6092	1.30911	-1.68869	0.999771
13	0.876905	-0.751457	1.15484	17.764	1.30911	-1.68869	0.999771
14	0.869391	-0.736057	1.13913	18.9032	1.30911	-1.68869	0.999771
15	0.86203	-0.720941	1.12377	20.0269	1.30911	-1.68869	0.999771
16	0.854821	-0.706102	1.10874	21.1357	1.30911	-1.68869	0.999771
17	0.84776	-0.691536	1.09404	22.2297	1.30911	-1.68869	0.999771
18	0.840844	-0.677238	1.07966	23.3094	1.30911	-1.68869	0.999771
19	0.834072	-0.663203	1.06561	24.375	1.30911	-1.68869	0.999771
20	0.82744	-0.649426	1.05186	25.4268	1.30911	-1.68869	0.999771
21	0.820946	-0.635902	1.03842	26.4653	1.30911	-1.68869	0.999771
22	0.814587	-0.622626	1.02529	27.4906	1.30911	-1.68869	0.999771
23	0.80836	-0.609594	1.01245	28.503	1.30911	-1.68869	0.999771
24	0.802264	-0.596802	0.9999	29.5029	1.30911	-1.68869	0.999771
25	0.796296	-0.584244	0.987638	30.4905	1.30911	-1.68869	0.999771
26	0.790454	-0.571917	0.975657	31.4662	1.30911	-1.68869	0.999771
27	0.784735	-0.559817	0.963952	32.4301	1.30911	-1.68869	0.999771
