
Current theta : [ 1.29877 , -1.70624 , 0.99437 ] 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.99	-0.97995	1.39298	1.39298	1.29877	-1.70624	0.99437
1	0.980201	-0.960273	1.37219	2.76518	1.29877	-1.70624	0.99437
2	0.970598	-0.940962	1.35184	4.11702	1.29877	-1.70624	0.99437
3	0.961188	-0.92201	1.33191	5.44893	1.29877	-1.70624	0.99437
4	0.951968	-0.903411	1.3124	6.76133	1.29877	-1.70624	0.99437
5	0.942934	-0.885157	1.2933	8.05463	1.29877	-1.70624	0.99437
6	0.934082	-0.867243	1.27461	9.32923	1.29877	-1.70624	0.99437
7	0.92541	-0.849661	1.25631	10.5855	1.29877	-1.70624	0.99437
8	0.916913	-0.832406	1.2384	11.8239	1.29877	-1.70624	0.99437
9	0.908589	-0.815471	1.22087	13.0448	1.29877	-1.70624	0.99437
10	0.900435	-0.79885	1.20372	14.2485	1.29877	-1.70624	0.99437
11	0.892446	-0.782538	1.18694	15.4355	1.29877	-1.70624	0.99437
12	0.884621	-0.766529	1.17052	16.606	1.29877	-1.70624	0.99437
13	0.876955	-0.750817	1.15446	17.7605	1.29877	-1.70624	0.99437
14	0.869447	-0.735396	1.13875	18.8992	1.29877	-1.70624	0.99437
15	0.862093	-0.720261	1.12338	20.0226	1.29877	-1.70624	0.99437
16	0.854891	-0.705406	1.10835	21.1309	1.29877	-1.70624	0.99437
17	0.847837	-0.690827	1.09365	22.2246	1.29877	-1.70624	0.99437
18	0.840928	-0.676517	1.07928	23.3039	1.29877	-1.70624	0.99437
19	0.834163	-0.662473	1.06522	24.3691	1.29877	-1.70624	0.99437
20	0.827538	-0.648689	1.05148	25.4206	1.29877	-1.70624	0.99437
21	0.821052	-0.63516	1.03805	26.4586	1.29877	-1.70624	0.99437
22	0.8147	-0.621881	1.02493	27.4835	1.29877	-1.70624	0.99437
23	0.808481	-0.608848	1.0121	28.4956	1.29877	-1.70624	0.99437
24	0.802393	-0.596056	0.999558	29.4952	1.29877	-1.70624	0.99437
25	0.796432	-0.583501	0.987308	30.4825	1.29877	-1.70624	0.99437
26	0.790597	-0.571177	0.97534	31.4578	1.29877	-1.70624	0.99437
27	0.784885	-0.559082	0.963648	32.4215	1.29877	-1.70624	0.99437
28	0.779294	-0.54721	0.952228	33.3737	1.29877	-1.70624	0.99437
29	0.773822	-0.535557	0.941075	34.3148	1.29877	-1.70624	0.99437
30	0.768467	-0.524119	0.930184	35.245	1.29877	-1.70624	0.99437
31	0.763226	-0.512892	0.91955	36.1645	1.29877	-1.70624	0.99437
32	0.758097	-0.501873	0.909168	37.0737	1.29877	-1.70624	0.99437
33	0.753078	-0.491057	0.899035	37.9727	1.29877	-1.70624	0.99437
34	0.748167	-0.48044	0.889144	38.8619	1.29877	-1.70624	0.99437
35	0.743363	-0.47002	0.879492	39.7414	1.29877	-1.70624	0.99437
36	0.738663	-0.459791	0.870075	40.6114	1.29877	-1.70624	0.99437
37	0.734065	-0.449751	0.860887	41.4723	1.29877	-1.70624	0.99437
