
Current theta : [ 1.29563 , -1.71152 , 0.992741 ] 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.99	-0.979929	1.39297	1.39297	1.29563	-1.71152	0.992741
1	0.980201	-0.960232	1.37217	2.76513	1.29563	-1.71152	0.992741
2	0.970598	-0.940902	1.3518	4.11693	1.29563	-1.71152	0.992741
3	0.961189	-0.921933	1.33186	5.44879	1.29563	-1.71152	0.992741
4	0.95197	-0.903317	1.31234	6.76113	1.29563	-1.71152	0.992741
5	0.942937	-0.885049	1.29323	8.05436	1.29563	-1.71152	0.992741
6	0.934086	-0.867121	1.27453	9.32888	1.29563	-1.71152	0.992741
7	0.925415	-0.849526	1.25622	10.5851	1.29563	-1.71152	0.992741
8	0.91692	-0.83226	1.2383	11.8234	1.29563	-1.71152	0.992741
9	0.908597	-0.815314	1.22077	13.0442	1.29563	-1.71152	0.992741
10	0.900444	-0.798684	1.20362	14.2478	1.29563	-1.71152	0.992741
11	0.892457	-0.782364	1.18683	15.4346	1.29563	-1.71152	0.992741
12	0.884634	-0.766347	1.17041	16.605	1.29563	-1.71152	0.992741
13	0.87697	-0.750627	1.15435	17.7594	1.29563	-1.71152	0.992741
14	0.869464	-0.7352	1.13863	18.898	1.29563	-1.71152	0.992741
15	0.862112	-0.72006	1.12326	20.0213	1.29563	-1.71152	0.992741
16	0.854911	-0.705201	1.10823	21.1295	1.29563	-1.71152	0.992741
17	0.847859	-0.690617	1.09353	22.2231	1.29563	-1.71152	0.992741
18	0.840953	-0.676305	1.07916	23.3022	1.29563	-1.71152	0.992741
19	0.83419	-0.662258	1.06511	24.3673	1.29563	-1.71152	0.992741
20	0.827568	-0.648472	1.05137	25.4187	1.29563	-1.71152	0.992741
21	0.821083	-0.634942	1.03794	26.4566	1.29563	-1.71152	0.992741
22	0.814733	-0.621662	1.02482	27.4815	1.29563	-1.71152	0.992741
23	0.808517	-0.608629	1.01199	28.4935	1.29563	-1.71152	0.992741
24	0.802431	-0.595837	0.999458	29.4929	1.29563	-1.71152	0.992741
25	0.796472	-0.583283	0.987211	30.4801	1.29563	-1.71152	0.992741
26	0.790639	-0.57096	0.975247	31.4554	1.29563	-1.71152	0.992741
27	0.78493	-0.558867	0.963559	32.4189	1.29563	-1.71152	0.992741
28	0.779341	-0.546997	0.952144	33.3711	1.29563	-1.71152	0.992741
29	0.773871	-0.535346	0.940995	34.3121	1.29563	-1.71152	0.992741
30	0.768518	-0.523911	0.930109	35.2422	1.29563	-1.71152	0.992741
31	0.763278	-0.512688	0.91948	36.1617	1.29563	-1.71152	0.992741
32	0.758152	-0.501673	0.909104	37.0708	1.29563	-1.71152	0.992741
33	0.753135	-0.490861	0.898975	37.9697	1.29563	-1.71152	0.992741
34	0.748226	-0.480248	0.88909	38.8588	1.29563	-1.71152	0.992741
35	0.743424	-0.469832	0.879444	39.7383	1.29563	-1.71152	0.992741
