
Current theta : [ 1.29772 , -1.708 , 0.993828 ] 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.99	-0.979943	1.39298	1.39298	1.29772	-1.708	0.993828
1	0.980201	-0.960259	1.37218	2.76516	1.29772	-1.708	0.993828
2	0.970598	-0.940942	1.35183	4.11699	1.29772	-1.708	0.993828
3	0.961189	-0.921984	1.33189	5.44888	1.29772	-1.708	0.993828
4	0.951969	-0.90338	1.31238	6.76126	1.29772	-1.708	0.993828
5	0.942935	-0.885121	1.29328	8.05454	1.29772	-1.708	0.993828
6	0.934084	-0.867202	1.27458	9.32912	1.29772	-1.708	0.993828
7	0.925412	-0.849616	1.25628	10.5854	1.29772	-1.708	0.993828
8	0.916916	-0.832357	1.23837	11.8238	1.29772	-1.708	0.993828
9	0.908592	-0.815418	1.22084	13.0446	1.29772	-1.708	0.993828
10	0.900438	-0.798795	1.20369	14.2483	1.29772	-1.708	0.993828
11	0.89245	-0.78248	1.1869	15.4352	1.29772	-1.708	0.993828
12	0.884625	-0.766468	1.17048	16.6057	1.29772	-1.708	0.993828
13	0.87696	-0.750753	1.15442	17.7601	1.29772	-1.708	0.993828
14	0.869453	-0.73533	1.13871	18.8988	1.29772	-1.708	0.993828
15	0.8621	-0.720193	1.12334	20.0221	1.29772	-1.708	0.993828
16	0.854898	-0.705337	1.10831	21.1305	1.29772	-1.708	0.993828
17	0.847844	-0.690757	1.09361	22.2241	1.29772	-1.708	0.993828
18	0.840937	-0.676446	1.07924	23.3033	1.29772	-1.708	0.993828
19	0.834172	-0.662401	1.06518	24.3685	1.29772	-1.708	0.993828
20	0.827548	-0.648616	1.05145	25.4199	1.29772	-1.708	0.993828
21	0.821062	-0.635087	1.03802	26.458	1.29772	-1.708	0.993828
22	0.814711	-0.621808	1.02489	27.4828	1.29772	-1.708	0.993828
23	0.808493	-0.608775	1.01206	28.4949	1.29772	-1.708	0.993828
24	0.802405	-0.595983	0.999525	29.4944	1.29772	-1.708	0.993828
25	0.796445	-0.583428	0.987276	30.4817	1.29772	-1.708	0.993828
26	0.790611	-0.571105	0.975308	31.457	1.29772	-1.708	0.993828
27	0.7849	-0.559009	0.963618	32.4206	1.29772	-1.708	0.993828
28	0.77931	-0.547138	0.9522	33.3728	1.29772	-1.708	0.993828
29	0.773839	-0.535486	0.941048	34.3139	1.29772	-1.708	0.993828
30	0.768484	-0.524049	0.930159	35.244	1.29772	-1.708	0.993828
31	0.763243	-0.512824	0.919526	36.1636	1.29772	-1.708	0.993828
32	0.758115	-0.501806	0.909147	37.0727	1.29772	-1.708	0.993828
33	0.753097	-0.490991	0.899015	37.9717	1.29772	-1.708	0.993828
34	0.748187	-0.480376	0.889126	38.8608	1.29772	-1.708	0.993828
35	0.743383	-0.469957	0.879476	39.7403	1.29772	-1.708	0.993828
36	0.738684	-0.459729	0.87006	40.6104	1.29772	-1.708	0.993828
37	0.734087	-0.449691	0.860875	41.4713	1.29772	-1.708	0.993828
38	0.72959	-0.439837	0.851914	42.3232	1.29772	-1.708	0.993828
39	0.725191	-0.430166	0.843175	43.1664	1.29772	-1.708	0.993828
40	0.72089	-0.420672	0.834654	44.001	1.29772	-1.708	0.993828
41	0.716683	-0.411353	0.826345	44.8273	1.29772	-1.708	0.993828
42	0.712569	-0.402206	0.818245	45.6456	1.29772	-1.708	0.993828
43	0.708547	-0.393227	0.81035	46.4559	1.29772	-1.708	0.993828
44	0.704615	-0.384413	0.802655	47.2586	1.29772	-1.708	0.993828
45	0.700771	-0.375762	0.795158	48.0538	1.29772	-1.708	0.993828
46	0.697013	-0.367269	0.787854	48.8416	1.29772	-1.708	0.993828
47	0.693341	-0.358933	0.780739	49.6224	1.29772	-1.708	0.993828
48	0.689751	-0.350749	0.77381	50.3962	1.29772	-1.708	0.993828
49	0.686244	-0.342716	0.767063	51.1632	1.29772	-1.708	0.993828
50	0.682817	-0.334831	0.760493	51.9237	1.29772	-1.708	0.993828
51	0.679468	-0.32709	0.754099	52.6778	1.29772	-1.708	0.993828
52	0.676197	-0.319491	0.747875	53.4257	1.29772	-1.708	0.993828
53	0.673002	-0.312032	0.74182	54.1675	1.29772	-1.708	0.993828
54	0.669882	-0.304709	0.735928	54.9034	1.29772	-1.708	0.993828
55	0.666835	-0.297521	0.730197	55.6336	1.29772	-1.708	0.993828
56	0.66386	-0.290464	0.724623	56.3583	1.29772	-1.708	0.993828
57	0.660955	-0.283536	0.719204	57.0775	1.29772	-1.708	0.993828
58	0.65812	-0.276736	0.713936	57.7914	1.29772	-1.708	0.993828
59	0.655352	-0.270059	0.708815	58.5002	1.29772	-1.708	0.993828
60	0.652652	-0.263505	0.703839	59.2041	1.29772	-1.708	0.993828
61	0.650017	-0.257071	0.699004	59.9031	1.29772	-1.708	0.993828
62	0.647446	-0.250754	0.694308	60.5974	1.29772	-1.708	0.993828
63	0.644939	-0.244552	0.689748	61.2871	1.29772	-1.708	0.993828
64	0.642493	-0.238464	0.685319	61.9724	1.29772	-1.708	0.993828
65	0.640108	-0.232487	0.681021	62.6535	1.29772	-1.708	0.993828
66	0.637784	-0.226619	0.676849	63.3303	1.29772	-1.708	0.993828
67	0.635517	-0.220858	0.6728	64.0031	1.29772	-1.708	0.993828
