
Current theta : [ 1.27658 , -1.74096 , 0.983226 ] 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.99	-0.979825	1.39289	1.39289	1.27658	-1.74096	0.983226
1	0.980202	-0.960031	1.37203	2.76492	1.27658	-1.74096	0.983226
2	0.970601	-0.940613	1.3516	4.11652	1.27658	-1.74096	0.983226
3	0.961195	-0.921562	1.33161	5.44813	1.27658	-1.74096	0.983226
4	0.95198	-0.902871	1.31204	6.76016	1.27658	-1.74096	0.983226
5	0.942951	-0.884534	1.29289	8.05305	1.27658	-1.74096	0.983226
6	0.934106	-0.866543	1.27415	9.3272	1.27658	-1.74096	0.983226
7	0.92544	-0.848891	1.25581	10.583	1.27658	-1.74096	0.983226
8	0.916951	-0.831573	1.23787	11.8209	1.27658	-1.74096	0.983226
9	0.908636	-0.814582	1.22031	13.0412	1.27658	-1.74096	0.983226
10	0.90049	-0.797911	1.20314	14.2443	1.27658	-1.74096	0.983226
11	0.892511	-0.781555	1.18634	15.4307	1.27658	-1.74096	0.983226
12	0.884695	-0.765506	1.16991	16.6006	1.27658	-1.74096	0.983226
13	0.87704	-0.74976	1.15384	17.7544	1.27658	-1.74096	0.983226
14	0.869542	-0.73431	1.13812	18.8925	1.27658	-1.74096	0.983226
15	0.862199	-0.719151	1.12275	20.0153	1.27658	-1.74096	0.983226
16	0.855008	-0.704277	1.10772	21.123	1.27658	-1.74096	0.983226
17	0.847965	-0.689683	1.09303	22.216	1.27658	-1.74096	0.983226
18	0.841068	-0.675363	1.07866	23.2947	1.27658	-1.74096	0.983226
19	0.834315	-0.661312	1.06462	24.3593	1.27658	-1.74096	0.983226
20	0.827701	-0.647525	1.05089	25.4102	1.27658	-1.74096	0.983226
21	0.821226	-0.633997	1.03748	26.4477	1.27658	-1.74096	0.983226
22	0.814886	-0.620723	1.02437	27.4721	1.27658	-1.74096	0.983226
23	0.808679	-0.607697	1.01156	28.4836	1.27658	-1.74096	0.983226
24	0.802602	-0.594916	0.999047	29.4827	1.27658	-1.74096	0.983226
25	0.796653	-0.582375	0.986821	30.4695	1.27658	-1.74096	0.983226
26	0.790829	-0.570068	0.974879	31.4444	1.27658	-1.74096	0.983226
27	0.785128	-0.557992	0.963214	32.4076	1.27658	-1.74096	0.983226
28	0.779549	-0.546142	0.951823	33.3594	1.27658	-1.74096	0.983226
29	0.774087	-0.534514	0.9407	34.3001	1.27658	-1.74096	0.983226
30	0.768742	-0.523103	0.929839	35.2299	1.27658	-1.74096	0.983226
31	0.763511	-0.511906	0.919237	36.1492	1.27658	-1.74096	0.983226
32	0.758392	-0.500918	0.908888	37.0581	1.27658	-1.74096	0.983226
33	0.753383	-0.490135	0.898787	37.9568	1.27658	-1.74096	0.983226
34	0.748481	-0.479554	0.88893	38.8458	1.27658	-1.74096	0.983226
35	0.743686	-0.46917	0.879312	39.7251	1.27658	-1.74096	0.983226
36	0.738994	-0.45898	0.869928	40.595	1.27658	-1.74096	0.983226
37	0.734404	-0.448981	0.860775	41.4558	1.27658	-1.74096	0.983226
38	0.729914	-0.439168	0.851847	42.3076	1.27658	-1.74096	0.983226
39	0.725523	-0.429537	0.84314	43.1508	1.27658	-1.74096	0.983226
40	0.721227	-0.420087	0.834651	43.9854	1.27658	-1.74096	0.983226
41	0.717027	-0.410812	0.826374	44.8118	1.27658	-1.74096	0.983226
42	0.712918	-0.401711	0.818306	45.6301	1.27658	-1.74096	0.983226
43	0.708901	-0.392778	0.810442	46.4406	1.27658	-1.74096	0.983226
44	0.704974	-0.384012	0.802778	47.2433	1.27658	-1.74096	0.983226
45	0.701133	-0.375409	0.795311	48.0386	1.27658	-1.74096	0.983226
46	0.697379	-0.366966	0.788037	48.8267	1.27658	-1.74096	0.983226
47	0.69371	-0.35868	0.780951	49.6076	1.27658	-1.74096	0.983226
48	0.690123	-0.350549	0.77405	50.3817	1.27658	-1.74096	0.983226
49	0.686617	-0.342568	0.76733	51.149	1.27658	-1.74096	0.983226
50	0.683192	-0.334735	0.760788	51.9098	1.27658	-1.74096	0.983226
51	0.679844	-0.327048	0.754419	52.6642	1.27658	-1.74096	0.983226
52	0.676574	-0.319503	0.748221	53.4124	1.27658	-1.74096	0.983226
53	0.673379	-0.312099	0.742189	54.1546	1.27658	-1.74096	0.983226
54	0.670258	-0.304831	0.73632	54.8909	1.27658	-1.74096	0.983226
55	0.66721	-0.297699	0.730611	55.6216	1.27658	-1.74096	0.983226
56	0.664233	-0.290698	0.725059	56.3466	1.27658	-1.74096	0.983226
57	0.661326	-0.283827	0.719659	57.0663	1.27658	-1.74096	0.983226
58	0.658487	-0.277084	0.714409	57.7807	1.27658	-1.74096	0.983226
59	0.655716	-0.270465	0.709306	58.49	1.27658	-1.74096	0.983226
60	0.653012	-0.263968	0.704346	59.1943	1.27658	-1.74096	0.983226
61	0.650372	-0.257592	0.699527	59.8939	1.27658	-1.74096	0.983226
62	0.647796	-0.251334	0.694844	60.5887	1.27658	-1.74096	0.983226
63	0.645283	-0.245191	0.690296	61.279	1.27658	-1.74096	0.983226
64	0.642831	-0.239161	0.685879	61.9649	1.27658	-1.74096	0.983226
65	0.640439	-0.233243	0.68159	62.6465	1.27658	-1.74096	0.983226
66	0.638107	-0.227434	0.677427	63.3239	1.27658	-1.74096	0.983226
67	0.635833	-0.221733	0.673386	63.9973	1.27658	-1.74096	0.983226
68	0.633615	-0.216136	0.669465	64.6668	1.27658	-1.74096	0.983226
69	0.631454	-0.210642	0.665661	65.3324	1.27658	-1.74096	0.983226
