
Current theta : [ 1.33049 , -1.6523 , 1.01104 ] 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.99	-0.980172	1.39314	1.39314	1.33049	-1.6523	1.01104
1	0.980198	-0.960703	1.37249	2.76563	1.33049	-1.6523	1.01104
2	0.970591	-0.941585	1.35227	4.1179	1.33049	-1.6523	1.01104
3	0.961175	-0.922814	1.33246	5.45036	1.33049	-1.6523	1.01104
4	0.951947	-0.904382	1.31305	6.76341	1.33049	-1.6523	1.01104
5	0.942903	-0.886283	1.29405	8.05746	1.33049	-1.6523	1.01104
6	0.934041	-0.868512	1.27544	9.3329	1.33049	-1.6523	1.01104
7	0.925355	-0.851063	1.25722	10.5901	1.33049	-1.6523	1.01104
8	0.916845	-0.833929	1.23937	11.8295	1.33049	-1.6523	1.01104
9	0.908506	-0.817105	1.2219	13.0514	1.33049	-1.6523	1.01104
10	0.900335	-0.800586	1.2048	14.2562	1.33049	-1.6523	1.01104
11	0.892329	-0.784365	1.18806	15.4442	1.33049	-1.6523	1.01104
12	0.884485	-0.768439	1.17167	16.6159	1.33049	-1.6523	1.01104
13	0.876801	-0.7528	1.15563	17.7715	1.33049	-1.6523	1.01104
14	0.869273	-0.737445	1.13994	18.9115	1.33049	-1.6523	1.01104
15	0.861898	-0.722367	1.12458	20.0361	1.33049	-1.6523	1.01104
16	0.854674	-0.707562	1.10956	21.1456	1.33049	-1.6523	1.01104
17	0.847599	-0.693026	1.09486	22.2405	1.33049	-1.6523	1.01104
18	0.840669	-0.678752	1.08048	23.321	1.33049	-1.6523	1.01104
19	0.833881	-0.664737	1.06641	24.3874	1.33049	-1.6523	1.01104
20	0.827234	-0.650975	1.05266	25.44	1.33049	-1.6523	1.01104
21	0.820724	-0.637462	1.0392	26.4792	1.33049	-1.6523	1.01104
22	0.814349	-0.624194	1.02605	27.5053	1.33049	-1.6523	1.01104
23	0.808107	-0.611166	1.01319	28.5185	1.33049	-1.6523	1.01104
24	0.801996	-0.598374	1.00062	29.5191	1.33049	-1.6523	1.01104
25	0.796012	-0.585813	0.988338	30.5074	1.33049	-1.6523	1.01104
26	0.790154	-0.573479	0.97633	31.4838	1.33049	-1.6523	1.01104
27	0.784419	-0.561368	0.964597	32.4484	1.33049	-1.6523	1.01104
28	0.778805	-0.549476	0.953133	33.4015	1.33049	-1.6523	1.01104
29	0.773311	-0.5378	0.941933	34.3434	1.33049	-1.6523	1.01104
30	0.767933	-0.526334	0.930993	35.2744	1.33049	-1.6523	1.01104
31	0.762669	-0.515076	0.920308	36.1947	1.33049	-1.6523	1.01104
32	0.757519	-0.504021	0.909874	37.1046	1.33049	-1.6523	1.01104
33	0.752478	-0.493165	0.899687	38.0043	1.33049	-1.6523	1.01104
34	0.747547	-0.482506	0.889741	38.894	1.33049	-1.6523	1.01104
35	0.742722	-0.47204	0.880032	39.7741	1.33049	-1.6523	1.01104
36	0.738001	-0.461762	0.870557	40.6446	1.33049	-1.6523	1.01104
37	0.733384	-0.45167	0.861312	41.5059	1.33049	-1.6523	1.01104
38	0.728867	-0.441761	0.852291	42.3582	1.33049	-1.6523	1.01104
39	0.724449	-0.43203	0.843491	43.2017	1.33049	-1.6523	1.01104
40	0.720129	-0.422474	0.834907	44.0366	1.33049	-1.6523	1.01104
41	0.715904	-0.413091	0.826537	44.8632	1.33049	-1.6523	1.01104
42	0.711773	-0.403878	0.818376	45.6815	1.33049	-1.6523	1.01104
43	0.707735	-0.39483	0.810419	46.492	1.33049	-1.6523	1.01104
44	0.703786	-0.385946	0.802664	47.2946	1.33049	-1.6523	1.01104
45	0.699927	-0.377221	0.795106	48.0897	1.33049	-1.6523	1.01104
46	0.696155	-0.368654	0.787742	48.8775	1.33049	-1.6523	1.01104
47	0.692468	-0.360241	0.780567	49.658	1.33049	-1.6523	1.01104
48	0.688866	-0.351979	0.77358	50.4316	1.33049	-1.6523	1.01104
49	0.685346	-0.343867	0.766775	51.1984	1.33049	-1.6523	1.01104
50	0.681907	-0.3359	0.760149	51.9585	1.33049	-1.6523	1.01104
51	0.678548	-0.328076	0.753699	52.7122	1.33049	-1.6523	1.01104
52	0.675267	-0.320393	0.747421	53.4597	1.33049	-1.6523	1.01104
53	0.672063	-0.312849	0.741312	54.201	1.33049	-1.6523	1.01104
54	0.668935	-0.305439	0.735369	54.9363	1.33049	-1.6523	1.01104
55	0.665881	-0.298163	0.729588	55.6659	1.33049	-1.6523	1.01104
