
Current theta : [ 1.27784 , -1.73931 , 0.983819 ] 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.99	-0.979828	1.3929	1.3929	1.27784	-1.73931	0.983819
1	0.980202	-0.960039	1.37203	2.76493	1.27784	-1.73931	0.983819
2	0.970601	-0.940623	1.35161	4.11654	1.27784	-1.73931	0.983819
3	0.961195	-0.921575	1.33161	5.44815	1.27784	-1.73931	0.983819
4	0.951979	-0.902887	1.31205	6.7602	1.27784	-1.73931	0.983819
5	0.94295	-0.884551	1.2929	8.0531	1.27784	-1.73931	0.983819
6	0.934105	-0.866562	1.27416	9.32726	1.27784	-1.73931	0.983819
7	0.925439	-0.848913	1.25582	10.5831	1.27784	-1.73931	0.983819
8	0.91695	-0.831596	1.23788	11.821	1.27784	-1.73931	0.983819
9	0.908634	-0.814606	1.22033	13.0413	1.27784	-1.73931	0.983819
10	0.900488	-0.797936	1.20315	14.2444	1.27784	-1.73931	0.983819
11	0.892509	-0.781579	1.18636	15.4308	1.27784	-1.73931	0.983819
12	0.884693	-0.765531	1.16992	16.6007	1.27784	-1.73931	0.983819
13	0.877038	-0.749785	1.15385	17.7546	1.27784	-1.73931	0.983819
14	0.86954	-0.734335	1.13813	18.8927	1.27784	-1.73931	0.983819
15	0.862197	-0.719176	1.12276	20.0155	1.27784	-1.73931	0.983819
16	0.855005	-0.704302	1.10773	21.1232	1.27784	-1.73931	0.983819
17	0.847962	-0.689707	1.09304	22.2162	1.27784	-1.73931	0.983819
18	0.841065	-0.675386	1.07867	23.2949	1.27784	-1.73931	0.983819
19	0.834311	-0.661334	1.06463	24.3595	1.27784	-1.73931	0.983819
20	0.827697	-0.647546	1.0509	25.4104	1.27784	-1.73931	0.983819
21	0.821222	-0.634016	1.03749	26.4479	1.27784	-1.73931	0.983819
22	0.814882	-0.620741	1.02438	27.4723	1.27784	-1.73931	0.983819
23	0.808674	-0.607714	1.01157	28.4839	1.27784	-1.73931	0.983819
24	0.802597	-0.594931	0.999052	29.4829	1.27784	-1.73931	0.983819
25	0.796648	-0.582387	0.986825	30.4698	1.27784	-1.73931	0.983819
26	0.790824	-0.570079	0.974881	31.4446	1.27784	-1.73931	0.983819
27	0.785123	-0.558001	0.963215	32.4079	1.27784	-1.73931	0.983819
28	0.779543	-0.546149	0.951823	33.3597	1.27784	-1.73931	0.983819
29	0.774082	-0.534518	0.940698	34.3004	1.27784	-1.73931	0.983819
30	0.768737	-0.523105	0.929836	35.2302	1.27784	-1.73931	0.983819
31	0.763506	-0.511905	0.919232	36.1494	1.27784	-1.73931	0.983819
32	0.758387	-0.500915	0.908882	37.0583	1.27784	-1.73931	0.983819
33	0.753377	-0.49013	0.89878	37.9571	1.27784	-1.73931	0.983819
34	0.748476	-0.479546	0.888921	38.846	1.27784	-1.73931	0.983819
35	0.743681	-0.46916	0.879302	39.7253	1.27784	-1.73931	0.983819
36	0.738989	-0.458967	0.869917	40.5952	1.27784	-1.73931	0.983819
37	0.734399	-0.448965	0.860762	41.456	1.27784	-1.73931	0.983819
38	0.72991	-0.439149	0.851833	42.3078	1.27784	-1.73931	0.983819
39	0.725518	-0.429516	0.843126	43.151	1.27784	-1.73931	0.983819
40	0.721223	-0.420063	0.834635	43.9856	1.27784	-1.73931	0.983819
41	0.717022	-0.410785	0.826357	44.812	1.27784	-1.73931	0.983819
42	0.712915	-0.40168	0.818287	45.6302	1.27784	-1.73931	0.983819
43	0.708898	-0.392745	0.810423	46.4407	1.27784	-1.73931	0.983819
44	0.70497	-0.383976	0.802758	47.2434	1.27784	-1.73931	0.983819
