
Current theta : [ 0.966502 , -1.59096 , 0.888004 ] 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.99	-0.984425	1.39614	1.39614	0.966502	-1.59096	0.888004
1	0.980156	-0.969117	1.37837	2.7745	0.966502	-1.59096	0.888004
2	0.970465	-0.95407	1.3609	4.1354	0.966502	-1.59096	0.888004
3	0.960924	-0.939278	1.34373	5.47914	0.966502	-1.59096	0.888004
4	0.951531	-0.924737	1.32686	6.80599	0.966502	-1.59096	0.888004
5	0.942284	-0.910442	1.31027	8.11626	0.966502	-1.59096	0.888004
6	0.933179	-0.896387	1.29396	9.41022	0.966502	-1.59096	0.888004
7	0.924215	-0.882568	1.27793	10.6881	0.966502	-1.59096	0.888004
8	0.91539	-0.868981	1.26217	11.9503	0.966502	-1.59096	0.888004
9	0.9067	-0.85562	1.24667	13.197	0.966502	-1.59096	0.888004
10	0.898144	-0.842482	1.23144	14.4284	0.966502	-1.59096	0.888004
11	0.889719	-0.829562	1.21646	15.6449	0.966502	-1.59096	0.888004
12	0.881423	-0.816855	1.20173	16.8466	0.966502	-1.59096	0.888004
13	0.873255	-0.804359	1.18725	18.0339	0.966502	-1.59096	0.888004
14	0.865211	-0.792068	1.17301	19.2069	0.966502	-1.59096	0.888004
15	0.85729	-0.77998	1.15901	20.3659	0.966502	-1.59096	0.888004
16	0.849491	-0.768089	1.14525	21.5111	0.966502	-1.59096	0.888004
17	0.84181	-0.756393	1.13171	22.6429	0.966502	-1.59096	0.888004
18	0.834246	-0.744888	1.1184	23.7613	0.966502	-1.59096	0.888004
19	0.826797	-0.73357	1.10531	24.8666	0.966502	-1.59096	0.888004
20	0.819461	-0.722437	1.09244	25.959	0.966502	-1.59096	0.888004
21	0.812237	-0.711483	1.07979	27.0388	0.966502	-1.59096	0.888004
22	0.805122	-0.700707	1.06734	28.1061	0.966502	-1.59096	0.888004
23	0.798115	-0.690105	1.0551	29.1612	0.966502	-1.59096	0.888004
24	0.791214	-0.679673	1.04306	30.2043	0.966502	-1.59096	0.888004
25	0.784417	-0.66941	1.03122	31.2355	0.966502	-1.59096	0.888004
26	0.777723	-0.659311	1.01958	32.2551	0.966502	-1.59096	0.888004
27	0.77113	-0.649374	1.00813	33.2632	0.966502	-1.59096	0.888004
28	0.764636	-0.639596	0.996871	34.2601	0.966502	-1.59096	0.888004
29	0.75824	-0.629974	0.985797	35.2459	0.966502	-1.59096	0.888004
30	0.751941	-0.620505	0.974906	36.2208	0.966502	-1.59096	0.888004
31	0.745736	-0.611187	0.964195	37.185	0.966502	-1.59096	0.888004
32	0.739624	-0.602017	0.95366	38.1387	0.966502	-1.59096	0.888004
33	0.733603	-0.592992	0.9433	39.082	0.966502	-1.59096	0.888004
34	0.727674	-0.584111	0.93311	40.0151	0.966502	-1.59096	0.888004
35	0.721832	-0.575369	0.923088	40.9382	0.966502	-1.59096	0.888004
36	0.716079	-0.566766	0.913232	41.8514	0.966502	-1.59096	0.888004
37	0.710411	-0.558298	0.903538	42.7549	0.966502	-1.59096	0.888004
38	0.704828	-0.549963	0.894004	43.6489	0.966502	-1.59096	0.888004
39	0.699328	-0.54176	0.884626	44.5336	0.966502	-1.59096	0.888004
40	0.693911	-0.533685	0.875404	45.409	0.966502	-1.59096	0.888004
41	0.688574	-0.525736	0.866333	46.2753	0.966502	-1.59096	0.888004
42	0.683317	-0.517913	0.857412	47.1327	0.966502	-1.59096	0.888004
43	0.678138	-0.510211	0.848638	47.9813	0.966502	-1.59096	0.888004
44	0.673035	-0.502629	0.840008	48.8214	0.966502	-1.59096	0.888004
45	0.668009	-0.495166	0.83152	49.6529	0.966502	-1.59096	0.888004
46	0.663057	-0.487819	0.823172	50.476	0.966502	-1.59096	0.888004
