
Current theta : [ 1.30189 , -1.70096 , 0.995994 ] 


t	x[0]	x[1]	P	theta[0]	theta[1]	theta[2]
0	0.99	-0.979972	1.393	1.393	1.30189	-1.70096	0.995994
1	0.9802	-0.960315	1.37222	2.76522	1.30189	-1.70096	0.995994
2	0.970597	-0.941023	1.35188	4.1171	1.30189	-1.70096	0.995994
3	0.961187	-0.922088	1.33196	5.44907	1.30189	-1.70096	0.995994
4	0.951966	-0.903505	1.31246	6.76153	1.30189	-1.70096	0.995994
5	0.942931	-0.885266	1.29337	8.0549	1.30189	-1.70096	0.995994
6	0.934078	-0.867365	1.27469	9.32959	1.30189	-1.70096	0.995994
7	0.925405	-0.849796	1.25639	10.586	1.30189	-1.70096	0.995994
8	0.916907	-0.832553	1.23849	11.8245	1.30189	-1.70096	0.995994
9	0.908581	-0.815629	1.22097	13.0454	1.30189	-1.70096	0.995994
10	0.900425	-0.799018	1.20383	14.2493	1.30189	-1.70096	0.995994
11	0.892435	-0.782715	1.18705	15.4363	1.30189	-1.70096	0.995994
12	0.884608	-0.766714	1.17063	16.607	1.30189	-1.70096	0.995994
13	0.87694	-0.751008	1.15457	17.7615	1.30189	-1.70096	0.995994
14	0.86943	-0.735593	1.13886	18.9004	1.30189	-1.70096	0.995994
15	0.862074	-0.720464	1.12349	20.0239	1.30189	-1.70096	0.995994
16	0.85487	-0.705614	1.10846	21.1323	1.30189	-1.70096	0.995994
17	0.847814	-0.691038	1.09377	22.2261	1.30189	-1.70096	0.995994
18	0.840903	-0.676733	1.07939	23.3055	1.30189	-1.70096	0.995994
19	0.834136	-0.662691	1.06534	24.3708	1.30189	-1.70096	0.995994
20	0.827509	-0.648909	1.0516	25.4224	1.30189	-1.70096	0.995994
21	0.82102	-0.635381	1.03816	26.4606	1.30189	-1.70096	0.995994
22	0.814666	-0.622103	1.02503	27.4856	1.30189	-1.70096	0.995994
23	0.808445	-0.609071	1.0122	28.4978	1.30189	-1.70096	0.995994
24	0.802354	-0.596278	0.99966	29.4975	1.30189	-1.70096	0.995994
25	0.796392	-0.583722	0.987406	30.4849	1.30189	-1.70096	0.995994
26	0.790554	-0.571398	0.975434	31.4603	1.30189	-1.70096	0.995994
27	0.78484	-0.5593	0.963738	32.4241	1.30189	-1.70096	0.995994
28	0.779247	-0.547426	0.952314	33.3764	1.30189	-1.70096	0.995994
29	0.773773	-0.535771	0.941156	34.3175	1.30189	-1.70096	0.995994
30	0.768415	-0.52433	0.93026	35.2478	1.30189	-1.70096	0.995994
31	0.763172	-0.5131	0.919622	36.1674	1.30189	-1.70096	0.995994
32	0.758041	-0.502077	0.909235	37.0767	1.30189	-1.70096	0.995994
33	0.75302	-0.491257	0.899096	37.9758	1.30189	-1.70096	0.995994
34	0.748108	-0.480637	0.8892	38.865	1.30189	-1.70096	0.995994
35	0.743301	-0.470211	0.879543	39.7445	1.30189	-1.70096	0.995994
36	0.738599	-0.459978	0.87012	40.6146	1.30189	-1.70096	0.995994
37	0.734	-0.449932	0.860926	41.4755	1.30189	-1.70096	0.995994
38	0.7295	-0.440072	0.851959	42.3275	1.30189	-1.70096	0.995994
39	0.725099	-0.430392	0.843212	43.1707	1.30189	-1.70096	0.995994
40	0.720796	-0.42089	0.834683	44.0054	1.30189	-1.70096	0.995994
41	0.716587	-0.411563	0.826366	44.8318	1.30189	-1.70096	0.995994
42	0.712471	-0.402408	0.818258	45.65	1.30189	-1.70096	0.995994
43	0.708447	-0.39342	0.810356	46.4604	1.30189	-1.70096	0.995994
44	0.704513	-0.384597	0.802654	47.263	1.30189	-1.70096	0.995994
45	0.700667	-0.375936	0.795149	48.0582	1.30189	-1.70096	0.995994
46	0.696907	-0.367434	0.787837	48.846	1.30189	-1.70096	0.995994
47	0.693233	-0.359088	0.780715	49.6267	1.30189	-1.70096	0.995994
